file_number,category,filed_by,doc_type,outcome,on_consent,sheriff_referenced
LTB-L-005609-26,L1,landlord,ExParte Order,other,False,False
LTB-L-005615-26,L1,landlord,Order,money_only,True,False
LTB-L-005623-26,L1,landlord,Order,other,False,False
LTB-L-005625-26,L1,landlord,Order,other,False,False
LTB-L-005636-26,L1,landlord,Order,terminated,False,False
LTB-L-005730-26,L1,landlord,Order,money_only,True,False
LTB-L-005739-26,L1,landlord,Order,money_only,False,False
LTB-L-005757-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005763-26,L1,landlord,Order,money_only,True,False
LTB-L-005773-26,L1,landlord,Order,other,False,False
LTB-L-005780-26,L1,landlord,Order,terminated,False,False
LTB-L-005815-26,L1,landlord,ExParte Order,other,False,False
LTB-L-005820-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005821-26,L1,landlord,Order,terminated,False,False
LTB-L-005822-26,L1,landlord,Order,other,False,False
LTB-L-005828-26,L1,landlord,Order,money_only,False,False
LTB-L-005850-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005860-26,L1,landlord,Order,dismissed,False,False
LTB-L-005885-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-005907-26,L1,landlord,ExParte Order,other,False,False
LTB-L-005960-26,L1,landlord,ExParte Order,other,False,False
LTB-L-005991-26,L1,landlord,Order,money_only,True,False
LTB-L-006001-26,L1,landlord,ExParte Order,other,False,False
LTB-L-006006-26,L1,landlord,Order,terminated,True,True
LTB-L-006012-26,L1,landlord,Order,terminated,False,True
LTB-L-006016-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006051-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006062-26,L1,landlord,Order,terminated,False,False
LTB-L-006064-26,L1,landlord,ExParte Order,other,False,False
LTB-L-006077-26,L1,landlord,ExParte Order,other,False,False
LTB-L-006094-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-006114-26,L1,landlord,Order,money_only,True,False
LTB-L-006149-26,L1,landlord,Order,money_only,True,False
LTB-L-006169-26,L1,landlord,Order,money_only,False,False
LTB-L-006180-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006232-26,L1,landlord,Review Order,other,False,False
LTB-L-006248-26,L1,landlord,Order,money_only,True,False
LTB-L-006252-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-006258-26,L1,landlord,Order,money_only,True,False
LTB-L-006276-26,L1,landlord,Order,other,False,False
LTB-L-006304-26,L1,landlord,Order,terminated_voidable,True,True
LTB-L-006331-26,L1,landlord,Order,money_only,True,False
LTB-L-006353-26,L1,landlord,Order,other,False,False
LTB-L-006354-26,L1,landlord,Order,terminated,False,True
LTB-L-006356-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006374-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006389-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006410-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006414-26,L1,landlord,Order,dismissed,False,False
LTB-L-006420-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006439-26,L1,landlord,Order,terminated_voidable,False,True
LTB-L-006443-26,L1,landlord,Order,dismissed,False,False
LTB-L-006474-26,L1,landlord,Order,dismissed,False,False
LTB-L-006589-26,L1,landlord,ExParte Order,other,False,False
