fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1
L6G,36,28,8,0,15,4,6,4,1,2
K7R,36,32,4,0,13,9,8,3,1,0
L1R,36,30,6,0,15,5,5,2,0,1
L7P,36,34,2,0,19,6,9,1,0,0
L8J,36,33,3,0,23,2,5,2,0,0
N1M,36,32,4,0,19,6,5,1,1,0
M8Z,35,25,10,0,9,8,0,5,0,4
N2N,35,31,4,0,25,1,1,3,0,1
L7M,35,23,10,2,11,6,2,6,1,0
L5E,34,26,8,0,16,2,5,5,0,1
N8A,34,30,4,0,24,6,0,1,2,0
L7L,34,29,5,0,15,5,2,0,0,2
N0L,34,26,8,0,11,7,4,6,1,0
K7C,34,31,3,0,12,4,9,1,1,0
