fsa,total_applications,landlord_filed,tenant_filed,coop_filed,L1,L2,L4,T2,T6,T1,population,total_applications_per_10k,landlord_filed_per_10k,tenant_filed_per_10k
K2R,1,1,0,0,0,0,1,0,0,0,1237.0,8.08,8.08,0.0
N5L,3,3,0,0,1,1,1,0,0,0,3714.0,8.08,8.08,0.0
K1C,30,16,14,0,10,3,2,6,4,2,37235.0,8.06,4.3,3.76
P0W,5,4,1,0,2,2,0,1,0,0,6454.0,7.75,6.2,1.55
K9L,6,2,4,0,2,0,0,2,0,0,7813.0,7.68,2.56,5.12
K4P,8,6,2,0,3,2,1,2,0,0,10448.0,7.66,5.74,1.91
N8P,11,6,5,0,3,2,0,2,1,1,14603.0,7.53,4.11,3.42
L6R,70,52,18,0,24,15,5,8,2,4,93783.0,7.46,5.54,1.92
L6J,18,13,5,0,6,5,2,2,1,0,24420.0,7.37,5.32,2.05
P5E,4,4,0,0,3,0,1,0,0,0,5427.0,7.37,7.37,0.0
L7M,35,23,10,2,11,6,2,6,1,0,48498.0,7.22,4.74,2.06
N4L,6,4,2,0,2,1,0,2,0,0,8337.0,7.2,4.8,2.4
L7L,34,29,5,0,15,5,2,0,0,2,47433.0,7.17,6.11,1.05
L1M,16,15,1,0,4,6,4,0,0,0,22542.0,7.1,6.65,0.44
L7K,6,5,1,0,2,2,1,0,0,1,8486.0,7.07,5.89,1.18
K2S,27,21,6,0,10,3,3,4,0,1,38903.0,6.94,5.4,1.54
N0L,34,26,8,0,11,7,4,6,1,0,49817.0,6.82,5.22,1.61
N0B,58,45,13,0,20,8,8,5,0,0,86919.0,6.67,5.18,1.5
L6A,59,45,14,0,24,7,10,4,5,1,89287.0,6.61,5.04,1.57
K0G,26,23,3,0,13,4,2,1,0,0,39862.0,6.52,5.77,0.75
K4B,3,1,2,0,0,1,0,1,0,0,4704.0,6.38,2.13,4.25
L9X,8,7,1,0,4,0,0,0,0,0,12896.0,6.2,5.43,0.78
L0R,51,31,20,0,13,7,3,13,2,0,83602.0,6.1,3.71,2.39
N4B,5,5,0,0,2,2,1,0,0,0,8223.0,6.08,6.08,0.0
P7G,8,5,3,0,1,2,2,1,1,0,13238.0,6.04,3.78,2.27
L6E,23,14,9,0,5,4,0,5,0,0,38387.0,5.99,3.65,2.34
P0X,5,3,2,0,2,1,0,2,0,0,8410.0,5.95,3.57,2.38
L0A,9,7,2,0,5,1,0,1,0,0,15325.0,5.87,4.57,1.31
L0B,9,7,2,0,4,2,1,1,0,0,15501.0,5.81,4.52,1.29
N4V,2,2,0,0,1,0,0,0,0,0,3477.0,5.75,5.75,0.0
L0M,21,18,3,0,6,4,1,0,0,1,37226.0,5.64,4.84,0.81
L7G,27,18,7,2,9,4,0,2,1,2,48051.0,5.62,3.75,1.46
L9G,14,9,5,0,4,2,3,2,1,0,25020.0,5.6,3.6,2.0
L7E,19,15,4,0,6,3,1,3,0,0,34516.0,5.5,4.35,1.16
N9J,11,10,1,0,6,1,1,0,1,0,20089.0,5.48,4.98,0.5
P0V,12,9,3,0,3,2,1,1,1,0,22944.0,5.23,3.92,1.31
N0E,19,12,7,0,3,5,0,5,0,0,36557.0,5.2,3.28,1.91
