fsa,population_2021,households_total,households_owner,households_renter,pct_renter,median_household_income,median_household_income_after_tax,tenant_households,pct_tenant_subsidized,pct_tenant_shelter_over_30pct,pct_tenant_core_housing_need,median_monthly_rent,average_monthly_rent,rent_to_income_ratio
L0J,4945,1475,1355,120,8.14,198000,157000,120,0,37.5,0,2000,1920,11.6
L0K,38386,15810,14140,1665,10.53,88000,77500,1645,13.4,34,18.4,1120,1224,16.7
L0L,42022,15445,13805,1645,10.65,106000,92000,1615,4.3,37.3,22.8,1260,1382,15.6
L0M,37226,13305,11055,2255,16.95,103000,89000,2235,12.1,25.6,11,1130,1277,14.9
L0N,2395,775,720,60,7.74,118000,102000,55,0,27.3,0,1230,1480,15.1
L0P,7779,2630,2385,245,9.32,135000,114000,240,0,27.7,24.4,1580,1590,14.1
L0R,83602,29025,25620,3405,11.73,110000,95000,3355,8.3,32,15.6,1350,1442,15.7
L0S,60409,24200,21005,3195,13.2,95000,83000,3175,7.4,40.3,20.2,1220,1350,17.1
L1A,15845,6790,5235,1560,22.97,86000,75500,1560,12.2,45.5,35,1170,1268,17.7
L1B,13203,5140,4585,550,10.7,101000,87000,555,5.4,41.3,29,1560,1560,18.5
L1C,50217,17680,14165,3515,19.88,109000,94000,3510,7.5,41.4,23.4,1570,1642,18.1
L1E,28325,9645,8890,755,7.83,123000,105000,760,0,34.9,18.1,1720,1644,16
L1G,43497,18550,10415,8135,43.85,75500,67500,8130,11.6,44.7,32,1300,1324,21
L1H,32298,13665,8035,5635,41.24,73500,66000,5625,19.2,40.4,33.6,1150,1195,19.5
L1J,43107,17160,10375,6780,39.51,78000,70000,6780,9.5,41.4,34.3,1240,1294,19.9
L1K,43574,13510,11305,2200,16.28,119000,102000,2205,8.4,42.9,13.9,2100,2062,20.8
L1L,12976,3770,2640,1130,29.97,112000,98000,1130,0,46.5,19.2,2320,2324,24.9
L1M,22542,6920,6480,440,6.36,154000,127000,445,0,33.7,17.9,2100,1880,14.6
L1N,49649,19110,14000,5110,26.74,100000,87000,5110,17.2,41.3,28.8,1300,1328,15.9
L1P,22928,6940,5660,1280,18.44,132000,112000,1285,11.3,37.9,23.2,1620,1836,16.7
